room_id,room_number,date,status,price,max_occupancy
RM000001,0101,2025-01-04,Booked,,2
RM000001,0101,2025-01-05,Booked,,2
RM000001,0101,2025-01-06,Booked,,2
RM000001,0101,2025-01-07,Booked,,2
RM000001,0101,2025-01-08,Booked,,2
RM000001,0101,2025-01-09,Booked,,2
RM000001,0101,2025-01-10,Booked,,2
RM000001,0101,2025-01-11,Booked,,2
RM000001,0101,2025-01-12,Booked,,2
RM000001,0101,2025-01-13,Booked,,2
RM000001,0101,2025-01-14,Booked,,2
RM000001,0101,2025-01-15,Booked,,2
RM000001,0101,2025-01-16,Booked,,2
RM000001,0101,2025-01-17,Booked,,2
RM000001,0101,2025-01-18,Booked,,2
RM000001,0101,2025-01-19,Booked,,2
RM000001,0101,2025-01-20,Available,500.0,2
RM000001,0101,2025-01-21,Available,500.0,2
RM000001,0101,2025-01-22,Available,468.57,2
RM000001,0101,2025-01-23,Available,485.14,2
RM000001,0101,2025-01-24,Available,500.0,2
RM000001,0101,2025-01-25,Available,500.0,2
RM000001,0101,2025-01-26,Available,500.0,2
RM000001,0101,2025-01-27,Booked,,2
RM000001,0101,2025-01-28,Booked,,2
RM000001,0101,2025-01-29,Booked,,2
RM000001,0101,2025-01-30,Booked,,2
RM000001,0101,2025-01-31,Booked,,2
RM000001,0101,2025-02-01,Booked,,2
RM000001,0101,2025-02-02,Booked,,2
RM000001,0101,2025-02-03,Booked,,2
RM000001,0101,2025-02-04,Booked,,2
RM000001,0101,2025-02-05,Booked,,2
RM000001,0101,2025-02-06,Booked,,2
RM000001,0101,2025-02-07,Booked,,2
RM000001,0101,2025-02-08,Booked,,2
RM000001,0101,2025-02-09,Booked,,2
RM000001,0101,2025-02-10,Booked,,2
RM000001,0101,2025-02-11,Booked,,2
RM000001,0101,2025-02-12,Booked,,2
RM000001,0101,2025-02-13,Booked,,2
RM000001,0101,2025-02-14,Booked,,2
RM000001,0101,2025-02-15,Booked,,2
RM000001,0101,2025-02-16,Booked,,2
RM000001,0101,2025-02-17,Booked,,2
RM000001,0101,2025-02-18,Booked,,2
RM000001,0101,2025-02-19,Booked,,2
RM000001,0101,2025-02-20,Available,370.38,2
RM000001,0101,2025-02-21,Available,376.86,2
RM000001,0101,2025-02-22,Available,404.86,2
RM000001,0101,2025-02-23,Available,452.98,2
RM000001,0101,2025-02-24,Available,370.29,2
RM000001,0101,2025-02-25,Available,378.72,2
RM000001,0101,2025-02-26,Available,368.23,2
RM000001,0101,2025-02-27,Available,377.52,2
RM000001,0101,2025-02-28,Available,345.96,2
RM000001,0101,2025-03-01,Available,441.21,2
RM000001,0101,2025-03-02,Booked,,2
RM000001,0101,2025-03-03,Booked,,2
RM000001,0101,2025-03-04,Booked,,2
RM000001,0101,2025-03-05,Booked,,2
RM000001,0101,2025-03-06,Booked,,2
RM000001,0101,2025-03-07,Booked,,2
RM000001,0101,2025-03-08,Booked,,2
RM000001,0101,2025-03-09,Booked,,2
RM000001,0101,2025-03-10,Booked,,2
RM000001,0101,2025-03-11,Booked,,2
RM000001,0101,2025-03-12,Booked,,2
RM000001,0101,2025-03-13,Booked,,2
RM000001,0101,2025-03-14,Booked,,2
RM000001,0101,2025-03-15,Available,378.75,2
RM000001,0101,2025-03-16,Available,457.09,2
RM000001,0101,2025-03-17,Available,320.23,2
RM000001,0101,2025-03-18,Available,342.32,2
RM000001,0101,2025-03-19,Available,341.98,2
RM000001,0101,2025-03-20,Available,325.31,2
RM000001,0101,2025-03-21,Available,331.45,2
RM000001,0101,2025-03-22,Available,445.04,2
RM000001,0101,2025-03-23,Available,410.03,2
RM000001,0101,2025-03-24,Available,361.22,2
RM000001,0101,2025-03-25,Available,318.76,2
RM000001,0101,2025-03-26,Available,334.7,2
RM000001,0101,2025-03-27,Available,316.94,2
RM000001,0101,2025-03-28,Booked,,2
RM000001,0101,2025-03-29,Booked,,2
RM000001,0101,2025-03-30,Booked,,2
RM000001,0101,2025-03-31,Booked,,2
RM000001,0101,2025-04-01,Booked,,2
RM000001,0101,2025-04-02,Booked,,2
RM000001,0101,2025-04-03,Booked,,2
RM000001,0101,2025-04-04,Booked,,2
RM000001,0101,2025-04-05,Booked,,2
RM000001,0101,2025-04-06,Booked,,2
RM000001,0101,2025-04-07,Booked,,2
RM000001,0101,2025-04-08,Booked,,2
RM000001,0101,2025-04-09,Booked,,2
RM000001,0101,2025-04-10,Available,350.21,2
RM000001,0101,2025-04-11,Available,378.23,2
RM000001,0101,2025-04-12,Available,414.96,2
RM000001,0101,2025-04-13,Available,411.94,2
RM000001,0101,2025-04-14,Available,315.84,2
RM000001,0101,2025-04-15,Available,377.26,2
RM000001,0101,2025-04-16,Booked,,2
RM000001,0101,2025-04-17,Booked,,2
RM000001,0101,2025-04-18,Booked,,2
RM000001,0101,2025-04-19,Booked,,2
RM000001,0101,2025-04-20,Booked,,2
RM000001,0101,2025-04-21,Available,329.32,2
RM000001,0101,2025-04-22,Available,370.66,2
RM000001,0101,2025-04-23,Available,372.82,2
RM000001,0101,2025-04-24,Available,346.64,2
RM000001,0101,2025-04-25,Available,323.42,2
RM000001,0101,2025-04-26,Booked,,2
RM000001,0101,2025-04-27,Booked,,2
RM000001,0101,2025-04-28,Booked,,2
RM000001,0101,2025-04-29,Booked,,2
RM000001,0101,2025-04-30,Booked,,2
RM000001,0101,2025-05-01,Booked,,2
RM000001,0101,2025-05-02,Booked,,2
RM000001,0101,2025-05-03,Booked,,2
RM000001,0101,2025-05-04,Booked,,2
RM000001,0101,2025-05-05,Booked,,2
RM000001,0101,2025-05-06,Booked,,2
RM000001,0101,2025-05-07,Booked,,2
RM000001,0101,2025-05-08,Available,370.65,2
RM000001,0101,2025-05-09,Available,335.85,2
RM000001,0101,2025-05-10,Booked,,2
RM000001,0101,2025-05-11,Booked,,2
RM000001,0101,2025-05-12,Booked,,2
RM000001,0101,2025-05-13,Booked,,2
RM000001,0101,2025-05-14,Booked,,2
RM000001,0101,2025-05-15,Booked,,2
RM000001,0101,2025-05-16,Available,351.48,2
RM000001,0101,2025-05-17,Available,438.51,2
